,pl_name,hostname,pl_bmasse,pl_orbper,pl_orbsmax,st_mass
685,HD 10180 g,HD 10180,23.265156,604.67,1.427,1.06
686,GJ 649 b,GJ 649,87.40281192,604.8,1.1325,0.529834
687,HD 200964 b,HD 200964,508.21017,606.3,1.565,1.39
688,HD 164604 b,HD 164604,858.105,606.4,1.3,0.8
689,HD 206610 b,HD 206610,813.6448,610,1.54,1.93
690,HD 206610 b,HD 206610,699.197,610,1.68,1.56
691,HD 200964 b,HD 200964,721.4741,613.79999,1.64,1.97
692,HD 200964 b,HD 200964,587.96,613.8,1.601,1.44
693,HD 11977 b,HD 11977,2065.895,621.6,1.89,2.31
694,BD+20 2457 c,BD+20 2457,3963.17,621.99,2.01,2.8
695,HD 183263 b,HD 183263,1103.1824007,624.87404,1.46,1.06
696,HD 183263 b,HD 183263,1177.23641953,625.09,1.508,1.170583
697,HD 183263 b,HD 183263,1155.263,625.1,1.486,1.06
698,HD 183263 b,HD 183263,1166.39,626.5,1.51,1.06
699,HD 183263 b,HD 183263,1255.4285,626.51599,1.49,1.31
700,HD 183263 b,HD 183263,1172.74,634.23,1.52,1.17
701,HD 183263 b,HD 183263,1214.1,635.4,1.525,1.06
702,HD 160691 b,HD 160691,540.311,637,1.5,1.08
703,HD 164604 b,HD 164604,635,641.472,1.331,0.77
704,HD 160691 b,HD 160691,532.68308,643.25,1.497,1.08
705,HD 160691 b,HD 160691,530.75,645.5,1.5,1.08
706,HD 160691 b,HD 160691,532.978,646.485,1.535,1.03
707,HD 141937 b,HD 141937,3079.7727,653.21997,1.5,1.09
708,HD 141937 b,HD 141937,3080,653.22,1.52,1.1
709,HD 141937 b,HD 141937,2960.78,653.22,1.4877,1.03
710,BD-17 63 b,BD-17 63,905.8155,655.59998,1.34,0.31
711,BD-17 63 b,BD-17 63,1620.9,655.6,1.34,0.74
712,HD 181342 b,HD 181342,1048.79,663,1.78,1.84
713,HD 181342 b,HD 181342,1204.5757,663,1.78,2.25
714,HD 113538 b,HD 113538,114.41,663.2,1.24,0.585
715,HD 116029 b,HD 116029,667.4,670,1.78,1.58
716,HD 116029 b,HD 116029,444.962,670,1.65,0.83
717,HD 206610 b,HD 206610,647.10188,673.2,1.74,1.55
718,HD 152581 b,HD 152581,594.02427,686.5,1.66,1.3
719,HD 152581 b,HD 152581,476.7,689,1.48,0.927
720,HD 152581 b,HD 152581,724.6524,689,1.49,1.72
721,GJ 317 b,GJ 317,794.5,692,1.15,0.42
722,GJ 317 b,GJ 317,381.4,692.9,0.95,0.26
723,GJ 317 b,GJ 317,588.93603817,695.36,1.18,0.453271
724,GJ 317 b,GJ 317,557.1,695.66,1.151,0.42
725,HD 11977 b,HD 11977,2080,711,1.93,1.91
726,7 CMa b,7 CMa,587.9855,735.1,1.758,1.34
727,HD 160691 b,HD 160691,626.1251,743,1.65,1.08
728,7 CMa b,7 CMa,826.3,763,1.9,1.52
729,HD 18742 b,HD 18742,1080.622,766,1.82,1.36
730,HD 18742 b,HD 18742,1185.5059,772,1.98,2.58
731,HD 18742 b,HD 18742,858.1,772,1.92,1.6
732,HD 102329 b,HD 102329,2593.4928,778.09998,1.81,3.21
733,HD 102329 b,HD 102329,1875.1,778.1,2.03,1.95
734,16 Cyg B b,16 Cyg B,533.9544,798.5,1.681,0.99
735,16 Cyg B b,16 Cyg B,565.7374,798.5,1.66,1.08
736,16 Cyg B b,16 Cyg B,556.83536906,799.45,1.676,0.982996
737,16 Cyg B b,16 Cyg B,533.93,799.5,1.68,1.03
738,16 Cyg B b,16 Cyg B,476.7,800.8,1.6,1
739,HD 200964 c,HD 200964,284.446,825,1.95,1.44
740,HD 110014 b,HD 110014,3524.59,835.477,2.14,2.17
741,HD 156411 b,HD 156411,235.18,842.2,1.88,1.25
742,HD 200964 c,HD 200964,385.84562,852.5,1.96,1.39
743,6 Lyn b,6 Lyn,702.4043,874.774,2.18,1.82
744,24 Sex c,24 Sex,273.32,883,2.08,1.54
745,HD 131496 b,HD 131496,711.9392,883,2.11,1.62
746,HD 131496 b,HD 131496,699.2,883,2.09,1.61
747,HD 131496 b,HD 131496,572.094,896,2.01,1.34
748,6 Lyn b,6 Lyn,762.8,899,2.2,1.7
749,gam Cep b,gam Cep,508.5254512,902.9,2.044,1.4
750,gam Cep b,gam Cep,587.96,903.3,2.05,1.4
751,gam Cep b,gam Cep,540.3,905.574,2.13,1.59
752,HD 128311 c,HD 128311,1032.94232275,917.5,1.742,0.837059
753,6 Lyn b,6 Lyn,597.83523357,919.86,2.028,1.32
754,HD 128311 c,HD 128311,1204.25787,921.538,1.74,0.828
755,HD 128311 c,HD 128311,1029.73,923.8,1.745,0.828
756,HD 128311 c,HD 128311,1020.19,928.3,1.76,0.84
757,6 Lyn b,6 Lyn,638.8383,934.3,2.11,1.44
758,HD 110014 b,HD 110014,4344.7361,936.4,2.5,2.09
759,HD 114386 b,HD 114386,394.09,937.7,1.65,0.68
760,HD 114386 b,HD 114386,362.3262,937.70001,1.73,0.6
761,81 Cet b,81 Cet,1684.4,952.7,2.5,2.4
762,HD 181720 b,HD 181720,127.132,956,1.85,1.03
763,HD 181720 b,HD 181720,117.59,956,1.78,0.92
764,HD 126525 b,HD 126525,75.32571,960.41,1.837,0.897
765,HD 181433 c,HD 181433,203,962,1.76,0.78
766,HD 132406 b,HD 132406,1970.5361234,964,1.969,1.09
767,HD 132406 b,HD 132406,1782.951,974,1.98,1.03
768,HD 132406 b,HD 132406,1709.9254,974,1.98,1.03
769,HD 181433 c,HD 181433,207.47704,975.41,1.7731,0.81
770,HD 16175 b,HD 16175,1875.1876013,981.1,2.13,1.34
771,18 Del b,18 Del,2926.24614325,982.85,2.476,2.1
772,HD 159868 b,HD 159868,540.288,986,2,0.97
773,HD 187085 b,HD 187085,238.36,986,2.05,1.22
774,HD 10647 b,HD 10647,298.75,989.2,2.015,1.11
775,HD 16175 b,HD 16175,1620.933,990,2.12,1.63
776,HD 16175 b,HD 16175,1398,990,2.1,1.29
777,18 Del b,18 Del,3273.5,993.3,2.6,2.3
778,HD 16175 b,HD 16175,1516.0491,995.4,2.148,1.34
779,HD 10647 b,HD 10647,295.57,1003,2.03,1.1
780,81 Cet b,81 Cet,1051.05854195,1005.57,2.104,1.23
781,HD 147018 c,HD 147018,2080,1008,1.922,0.927
782,HD 181433 c,HD 181433,214.21634632,1014.5,1.819,0.78
783,HD 187085 b,HD 187085,265.70588,1019.74,2.1,1.189
784,HD 148156 b,HD 148156,270.144,1027,2.45,1.22
785,HD 197037 b,HD 197037,251,1035.7,2.07,1.11
786,HD 190647 b,HD 190647,616.5902,1038.09998,2.07,1.14
787,HD 190647 b,HD 190647,603.85,1038.1,2.07,1.1
788,HD 143361 b,HD 143361,1122.57556,1039.15,1.988,0.968
789,HD 143361 b,HD 143361,1557.3591943,1040,2.05,1.06
790,HD 143361 b,HD 143361,1382.55357045,1042.4,1.994,0.968
791,HD 143361 b,HD 143361,1106.0484,1046.2,1.98,0.95
792,GJ 676 A b,GJ 676 A,1570,1050.3,1.8,0.71
793,GJ 676 A b,GJ 676 A,1840.86213334,1051.44521,1.735,0.626
794,GJ 676 A b,GJ 676 A,1576.4368,1056.80005,1.82,0.73
795,HD 143361 b,HD 143361,991.588,1057,2,0.95
796,HD 10697 b,HD 10697,1973.64,1075.2,2.131,1.112
797,HD 10697 b,HD 10697,1825.2885414,1075.3799,2.051,0.99
798,HD 10697 b,HD 10697,2151.69831539,1075.5,2.143,1.13
799,HD 10697 b,HD 10697,2030.92352073,1075.65,2.156,1.155848
800,HD 10697 b,HD 10697,2028.70889,1075.69,2.14,1.13
801,HD 10697 b,HD 10697,2027.7,1076.4,2.16,0.99
802,47 UMa b,47 UMa,778.6835,1076.6,2.1,1.063
803,47 UMa b,47 UMa,774.86565627,1076.6,2.059,1.005192
804,47 UMa b,47 UMa,804.08,1078,2.1,1.06
805,HD 143361 b,HD 143361,953.49,1086,2,0.95
806,HD 114729 b,HD 114729,346.4347,1114,2.1,1.24
807,HD 114729 b,HD 114729,301.93,1114,2.11,1
808,HD 111232 b,HD 111232,2129.461,1118,1.9,0.75
809,HD 2039 b,HD 2039,1999.1507,1120,2.2,1.23
810,HD 114729 b,HD 114729,262.20975,1121.79,2.067,0.936
811,HD 139357 b,HD 139357,6315.5682755,1124.79139,2.949,2.69
812,HD 139357 b,HD 139357,3101.89,1125.7,2.36,1.35
813,HD 139357 b,HD 139357,5784.4770074,1128,2.35,1.35
814,HD 170469 b,HD 170469,176.39476588,1130,2.213,1.134802
815,HD 114729 b,HD 114729,283.50293904,1132.7,2.094,0.955311
816,HD 114729 b,HD 114729,266.97,1135,2.08,0.93
817,HD 111232 b,HD 111232,2269.3062,1143,1.97,0.84
818,HD 111232 b,HD 111232,2161.15,1143,1.97,0.78
819,HD 170469 b,HD 170469,212.94,1145,2.1,1.14
820,HD 170469 b,HD 170469,209.7678,1145,2.24,1.1
821,HD 164922 b,HD 164922,98.5273,1155,2.1,0.76
822,HD 164922 b,HD 164922,114.414,1155,2.11,0.94
823,HD 111232 b,HD 111232,2374.17820029,1168.69,2.051,0.83
824,HD 111232 b,HD 111232,2531.50326176,1169.13202,2.148,0.96
825,HD 190647 b,HD 190647,630.89255,1176.45,2.231,1.069
826,HD 159868 b,HD 159868,667.41,1178.4,2.25,1.087
827,HD 159868 b,HD 159868,797.7533,1178.40002,2.3,1.42
828,HD 2039 b,HD 2039,1557.3,1183,2.2,0.98
829,HD 159868 b,HD 159868,704.94694,1184.1,2.32,1.19
830,HD 164922 b,HD 164922,109.33297201,1198.5,2.149,0.921146
831,HD 164922 b,HD 164922,107.6,1201.1,2.115,0.874
832,HD 164922 b,HD 164922,116,1207,2.16,0.926
833,HD 126614 b,HD 126614,130.3103,1244,2.37,1.26
834,HD 126614 b,HD 126614,120,1244,2.35,1.145
835,HD 126614 b,HD 126614,113.14691289,1253.5,2.291,1.021245
836,HD 126614 b,HD 126614,107.74382997,1257.25303,2.249,0.96
837,HD 202206 c,HD 202206,5689.157,1260,2.41,1.07
838,HD 163607 c,HD 163607,686.5128,1267.4,2.38,1.12
839,HD 11506 b,HD 11506,1093.29,1270.2,2.43,1.12
840,HD 163607 c,HD 163607,699.54383,1272,2.39,1.12
841,HD 175167 b,HD 175167,2037.59791728,1276.07604,2.307,1
842,HD 175167 b,HD 175167,3114.7183886,1289,2.438,1.17
843,HD 175167 b,HD 175167,2850.9351,1290,2.4,1.37
844,HD 175167 b,HD 175167,2478.97,1290,2.4,1.102
845,HD 134060 c,HD 134060,29.29,1291.5646,2.3928,1.095
846,HD 142245 b,HD 142245,603.9,1299,2.77,1.69
847,HD 142245 b,HD 142245,975.7381,1299,2.78,3.5
848,HD 196050 b,HD 196050,889.924,1300,2.4,1.13
849,HD 163607 c,HD 163607,727.8,1314,2.42,1.09
850,HD 196050 b,HD 196050,959.8466,1321,2.43,1.1
851,HD 196885 A b,HD 196885 A,947.1334,1325.8575,2.6,1.18
852,HD 196885 A b,HD 196885 A,819.97,1333,2.37,1.28
853,HD 196885 A b,HD 196885 A,940.74,1346.85,2.63,1.33
854,HD 196050 b,HD 196050,1010.6994,1378,2.51,1.31
855,HD 196050 b,HD 196050,1493.7935129,1392,2.65,1.27
856,HD 196050 b,HD 196050,1446.11925185,1393,2.585,1.18
857,HD 11506 b,HD 11506,1506.45,1405,2.48,1.19
858,HD 11506 b,HD 11506,1760.7782,1405,2.6,1.51
859,HD 171238 b,HD 171238,2796.8899816,1515,2.518,0.92
860,HD 171238 b,HD 171238,826.32,1523,2.54,0.943
861,HD 106252 b,HD 106252,2202.5619,1531,2.61,1.01
862,HD 106252 b,HD 106252,2199.29,1531,2.611,1.007
863,HD 171238 b,HD 171238,864.4976,1532,2.57,0.96
864,HD 106252 b,HD 106252,3178.28407,1535,2.655,1.05
865,HD 132563 b,HD 132563,473.547,1544,2.62,1.231
